scenario_id,node_class,failure_class,title,injection_boundary,terminal_status,priority,retry_policy,test_oracle
P2-RO-SUCCESS,read-only-exact-state,SUCCESS,Read-only exact-state node — Success,B5_AFTER_EVIDENCE_BEFORE_TERMINAL,PASS,P0,No retry required; a later refresh is a new observation attempt.,"Exact task/repository/SHA/status is observed, persisted, and matches the requested binding."
P2-RO-VALIDATION_FAILURE,read-only-exact-state,VALIDATION_FAILURE,Read-only exact-state node — Validation failure,B0_BEFORE_EXECUTION,FAILED_VALIDATION,P0,Retry only with corrected immutable binding and a new attempt id.,No external observation is dispatched and no PASS is emitted.
P2-RO-TIMEOUT_BEFORE_EFFECT,read-only-exact-state,TIMEOUT_BEFORE_EFFECT,Read-only exact-state node — Timeout before side effect,B2_BEFORE_DISPATCH,RETRYABLE_SUSPENDED,P0,Retry the read with the same binding; record a new observation attempt.,No observation result exists; terminal PASS is forbidden.
P2-RO-TIMEOUT_AFTER_EFFECT,read-only-exact-state,TIMEOUT_AFTER_EFFECT,Read-only exact-state node — Timeout after side effect,B3_AFTER_REMOTE_READ_BEFORE_EVIDENCE,PASS_AFTER_REOBSERVE,P0,Re-observe because reads are non-mutating; preserve both attempt records.,"Result is based on the resumed exact-state observation, not an unevidenced assumption."
P2-RO-DUPLICATE_WORKER,read-only-exact-state,DUPLICATE_WORKER,Read-only exact-state node — Duplicate worker,B1_AFTER_LEASE_ACQUIRE,PASS_SINGLE_OWNER,P0,Duplicate worker stops; owner continues.,Only the active lease holder may publish terminal evidence.
P2-RO-STALE_CHECKPOINT,read-only-exact-state,STALE_CHECKPOINT,Read-only exact-state node — Stale checkpoint,B1_ON_RESUME_LOAD,STALE_REJECTED,P0,Start a new run or reload the current checkpoint; never coerce stale bindings.,No observation is accepted under stale task/SHA/scope/graph revision.
P2-RO-LEASE_EXPIRY,read-only-exact-state,LEASE_EXPIRY,Read-only exact-state node — Lease expiry,B2_BEFORE_OBSERVATION,PASS_AFTER_TAKEOVER,P0,New owner performs a fresh observation; old owner is fenced.,Old worker cannot publish after expiry; fresh read determines result.
P2-RO-AMBIGUOUS_POST_STATE,read-only-exact-state,AMBIGUOUS_POST_STATE,Read-only exact-state node — Ambiguous post-state,B4_AFTER_PARTIAL_READBACK,OBSERVABILITY_INCOMPLETE,P0-HITL,Retry observation or escalate; do not map unknown/pending to PASS or FAIL.,Terminal state remains non-PASS until exact state is observable.
P2-RO-HUMAN_TAKEOVER,read-only-exact-state,HUMAN_TAKEOVER,Read-only exact-state node — Human takeover,B4_OPERATOR_ESCALATION,HUMAN_RESOLVED_OR_REJECTED,P0-HITL,Human may request fresh read or classify evidence; cannot authorize mutation.,"Takeover packet contains exact binding, attempts, missing facts and allowed decisions."
P2-BW-SUCCESS,bounded-external-write,SUCCESS,Bounded external-write node — Success,B5_AFTER_CHECKPOINT_BEFORE_TERMINAL,PASS,P0,No retry; duplicate requests with same key resolve to the same effect.,One intended external effect is confirmed by live-state readback under the same idempotency key and scope binding.
